RiverNumber;RiverList;RiverYear;CatchForFile;OrigCatchForFile;FemPropForFile;Spawn_W_mod;Spawn_W_min;Spawn_W_max;Spawn_W_med;GBM_maal;GBM_prob;Spawn4yrMin;Spawn4yrMed;Spawn4yrMax;GBM_4yr_maal;GBM_4yr_prob;Expl_L;Expl_M;Expl_H;ExplAdj;UnrepForFile
8;Leavvajohka;2018;755.366911157642;756;0.52;803.840926916174;555.866868247306;1220.84241655822;817.591594890681;1.93156082218181;0.9952;501.211893230574;778.87806175363;1204.47926253269;1.86136453839073;0.9889;0.256263639320907;0.32265675149188;0.398555625807706;0;0
8;Leavvajohka;2019;1039.12908413221;1040;0.56;1154.9800617195;786.050105053931;1735.57663502057;1161.9711148554;2.75470520422868;1;608.576836070061;924.060337259331;1411.39628701359;2.20363319221318;0.9995;0.265336109122119;0.3278385002455;0.411587599204969;0;0
8;Leavvajohka;2020;656.449815648903;657;0.57;781.990268263334;522.847404809203;1153.13792929348;781.395183806894;1.83708353257898;0.9915;642.588319826312;958.517956130008;1450.5041741905;2.28645752296772;0.9998;0.257043562130952;0.321745401189425;0.398505661023908;0;0
9;Baisjohka;2006;472.603900763974;473;0.49;277.134709735693;168.603615901856;437.207801517091;276.955666821839;0.704147089137855;0.0581;0;0;0;0;0;0.360329473951945;0.448054968088468;0.561236140387171;0;0
9;Baisjohka;2007;1025.14080799966;1026;0.77;963.02516798858;568.167102532882;1483.87491735038;943.301268979605;2.40284026608027;1;0;0;0;0;0;0.360885875695917;0.446332293843716;0.560810848910637;0;0
9;Baisjohka;2008;812.319178268734;813;0.75;731.741614430724;437.471675315414;1164.98263275441;727.882333929634;1.86010763022993;0.9935;0;0;0;0;0;0.36031444241116;0.448969522682297;0.561227486821588;0;0
9;Baisjohka;2009;380.68094332151;381;0.57;268.219068504082;156.110927211278;396.126546490819;259.519008289402;0.653911033972242;0.0193;332.588330240357;560.03014016477;870.547974528175;1.39871769266031;0.8905;0.363014448777571;0.447616018859013;0.560975963651199;0;0
9;Baisjohka;2010;535.551143360444;536;0.61;376.076805995904;238.287222828744;619.673408220362;390.423768370988;0.982843307529816;0.4295;350.009231972079;584.765664229822;916.164376203993;1.47118837286054;0.9242;0.360912874995564;0.449577725528709;0.561850576628262;0;0
9;Baisjohka;2011;206.826654245545;207;0.44;109.052462940981;67.1369474050448;173.185982903554;108.740210144843;0.277597588908912;0;224.75169319012;371.272487967923;588.492142592286;0.943118351178577;0.3715;0.361779005356665;0.450625723986806;0.562052111814545;0;0
9;Baisjohka;2012;700.412969208342;701;0.57;474.042271945175;291.351674654237;748.647735247173;475.939317842992;1.204587117768;0.7418;188.221693024826;306.847652346536;484.408418215477;0.780346003632069;0.1283;0.361141953825037;0.451724620592048;0.561187689471829;0;0
9;Baisjohka;2013;486.592176896523;487;0.61;356.943272318004;219.564575404482;547.114664859862;355.432348871875;0.897364462800656;0.2973;204.085105073127;329.028703300016;522.155447807738;0.840578600313818;0.2073;0.361167219002281;0.452427590094999;0.561690615970535;0;0
9;Baisjohka;2014;592.503410471536;593;0.57;378.711281007665;251.050952683493;641.37152187431;401.949021020568;1.01199467514279;0.4753;207.276037536814;329.687322052956;527.579976221225;0.847347214179136;0.215;0.360987234115555;0.453373618822918;0.561966271679084;0;0
9;Baisjohka;2015;464.610600116803;465;0.62;337.518087553892;213.685838248927;540.511157470612;343.299799636684;0.868543389157399;0.2511;243.913260247785;386.803728206184;619.41126986299;0.998149687606717;0.4558;0.360489892577802;0.452321727431213;0.560269283953091;0;0
9;Baisjohka;2016;517.56621690431;518;0.62;380.423791023327;233.582997314641;603.271653578757;383.239614318063;0.971547270593668;0.4202;229.471090912886;363.399107975722;583.067249445886;0.937627250695102;0.3642;0.361011969893607;0.449999078244334;0.560589814241952;0;0
9;Baisjohka;2017;528.55700529417;529;0.64;500.060079083216;314.20771842307;761.472853553715;496.177806953441;1.25570283839084;0.8037;253.131876667533;399.178309667025;636.656796619349;1.02829669891521;0.5074;0.321158640999065;0.398333108303363;0.498835457855832;0;0
9;Baisjohka;2018;545.542769169408;546;0.57;637.399014415354;434.093600534543;954.474480136803;646.785156557399;1.6129523889719;0.9816;298.892538630295;463.850243018947;714.932536184972;1.17408238041547;0.7141;0.256457111058236;0.320332281776463;0.398990471282948;0;0
9;Baisjohka;2019;506.57542851445;507;0.62;629.332336027339;417.233841583326;941.132500316336;625.761519676434;1.57889259165061;0.977;349.779539463895;536.803805137309;815.087871896403;1.35348791222999;0.8871;0.264299647788376;0.329789428628408;0.411877652469819;0;0
9;Baisjohka;2020;347.70857815193;348;0.62;464.885694504865;297.136775540739;656.108244116156;449.413359486494;1.1295419931194;0.679;365.667984020419;557.919281007693;828.297019530753;1.39378468380635;0.9175;0.257255758183557;0.320007284468985;0.398759139211658;0;0
10;Nilijoki;2006;0;0;0.421847723728884;157.951153915407;120.205553410314;201.627942930262;157.921480191912;0.702505265323016;0.0242;0;0;0;0;0;0;0;0;0;0
10;Nilijoki;2007;750.37109825316;751;0.779885282879067;685.975915070081;427.184655552945;1101.38117981728;694.790462276998;3.2391400102615;1;0;0;0;0;0;0.362428104248503;0.453283681733733;0.562058781504078;0;0
10;Nilijoki;2008;499.581290448176;500;0.629672400909996;363.607433005249;233.177342314486;590.404910843237;375.249765962963;1.73974607088736;0.9842;0;0;0;0;0;0.360789952756154;0.452070380331105;0.560402324804674;0;0
10;Nilijoki;2009;0;0;0.398120931863615;116.864699204186;94.2510777635971;147.559984285241;118.427088877486;0.525728910543595;0;218.704657260336;331.099800298731;510.243504469004;1.54511105285294;0.959;0;0;0;0;0
10;Nilijoki;2010;0;0;0.495938320923732;117.010621308484;91.2868726735832;148.87711802049;116.854741035219;0.523496237547732;0;211.474987076153;320.864667147;497.055798241561;1.50640034205665;0.9468;0;0;0;0;0
10;Nilijoki;2011;0;0;0.437980243423236;135.155846879326;108.277302643398;167.654090412521;135.426626044804;0.602238752333119;6e-04;131.748148848766;183.159650099311;263.624025890372;0.844949084821754;0.1933;0;0;0;0;0
10;Nilijoki;2012;0;0;0.503800644318456;152.948958509652;120.041389970308;197.649576160371;154.41771247117;0.689655158422701;0.0171;103.464160762722;130.495031475412;165.435192219656;0.584764470212186;1e-04;0;0;0;0;0
10;Nilijoki;2013;537.549468522237;538;0.581143238141798;370.217189596632;225.587375988551;591.558866383412;372.792537629524;1.73884788496323;0.9828;136.29823531896;193.833154073524;276.434912744199;0.888349537871801;0.2609;0.360618063349;0.444988591756602;0.560166825193363;0;0
10;Nilijoki;2014;0;0;0.544244920526642;319.726131225608;259.27190250234;418.463950949043;319.183235874005;1.46038518013998;0.9786;178.294492776149;244.512031552805;343.831620976337;1.12222041104508;0.6685;0;0;0;0;0
10;Nilijoki;2015;0;0;0.432874413966141;137.185475450449;107.073264769749;168.785939207535;136.264662343175;0.604565523632369;9e-04;177.993483307737;245.019438695586;344.11458317509;1.12044047669283;0.6591;0;0;0;0;0
10;Nilijoki;2016;0;0;0.555318474685542;243.988585489581;190.590278597809;306.830646671117;242.101207167008;1.08592131725442;0.6317;195.630705464612;267.779345440568;371.409850802777;1.22048623847801;0.8055;0;0;0;0;0
10;Nilijoki;2017;0;0;0.436495642475706;164.948029510705;133.367178845268;211.392849609358;165.97603771759;0.74622691192278;0.0489;172.575656178791;216.462055419086;276.368346609263;0.972938334186722;0.4043;0;0;0;0;0
10;Nilijoki;2018;0;0;0.432834530247372;241.081038149347;187.162048879672;313.6835202224;243.372318174478;1.08809307551842;0.6254;154.548192773124;196.80078215002;250.173238927603;0.880344309984998;0.2239;0;0;0;0;0
10;Nilijoki;2019;566.525183368231;567;0.580473794523225;682.665593782628;455.35738578947;1011.19818393789;685.391151283299;3.14311243693746;1;241.619223028055;333.170811733065;460.776300110192;1.51062176695977;0.9743;0.256971358202942;0.320657975271242;0.398358232623412;0;0
10;Nilijoki;2020;0;0;0.369832323780012;65.0984600984973;52.5762198549095;83.4697898793065;65.2929682702596;0.294844705305561;0;207.11570834233;288.448280385294;404.936085912239;1.31777670035457;0.8816;0;0;0;0;0
11;Valjohka;2006;248.790645224088;249;0.522771084337349;1713.98088914387;1332.0321626095;2180.65915216175;1706.75056947273;2.18071442631121;1;0;0;0;0;0;0.056;0.07;0.0875;0;0
11;Valjohka;2007;96.9187703469461;97;0.779072164948454;987.59108139376;777.28087440297;1286.89735388347;992.056565519948;1.27735951007405;0.8689;0;0;0;0;0;0.056;0.07;0.0875;0;0
11;Valjohka;2008;145.876899391764;146;0.68041095890411;1301.90308881393;1012.61430843473;1687.68353699471;1302.93412922062;1.67376185924444;0.9982;0;0;0;0;0;0.056;0.07;0.0875;0;0
